"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_country","source_type","official_url","modality","opportunita_tipo","opportunita_tipo_label","source_priority","job_fingerprint","excluded","excluded_reason","country","role_family","company_tier","english_ok","native_language_required","local_language_plus","keyword_score","technical_score","level_score","function_score","company_score","language_score","geo_score","part_time_score","source_score","rule_score","final_score","match_grade","why_match","matched_keywords","apply_status","ai_score"
"","subito.it","https://www.subito.it/offerte-lavoro/impiegato-a-amministrativo-trapani-cod-33-trapani-648735282.htm","","www. subito . it › offerte- lavoro › impiegato -a- amministrativo IMPIEGATO/A AMMINISTRATIVO - Trapani Cod. 33 | Subito","Subito.it","Trapani","2026-06-04","","","","","","","","","","","","Subito.it Fallback | Query: impiegato amministrativo","","","","","","","","","","","","","","","Trapani","subito_fallback","https://www.subito.it/offerte-lavoro/impiegato-a-amministrativo-trapani-cod-33-trapani-648735282.htm","","","",50,"f583c78586af022fd4bbf40b2b3ef7f22f9938b0",False,"","Trapani","amministrazione_generale","C",False,False,False,13.0,13.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,73.0,73.0,"B","ZONA TRAPANI | amministrativo, impiegato","amministrativo, impiegato","new",""
"","subito.it","https://www.subito.it/annunci-italia/vendita/offerte-lavoro/?q=impiegato+amministrativo+contabile","","www. subito . it Impiegato amministrativo contabile in Offerte di lavoro","Subito.it","Trapani","2026-06-04","","","","","","","","","","","","Subito.it Fallback | Query: impiegato amministrativo","","","","","","","","","","","","","","","Trapani","subito_fallback","https://www.subito.it/annunci-italia/vendita/offerte-lavoro/?q=impiegato+amministrativo+contabile","","","",50,"140c3e6a866a3d61ef0fbb0cc0b5adbdd8c6f1fc",False,"","Trapani","amministrazione_contabilita","C",False,False,False,13.0,13.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,73.0,73.0,"B","ZONA TRAPANI | amministrativo, impiegato","amministrativo, impiegato","new",""
"","subito.it","https://www.subito.it/offerte-lavoro/addetto-a-al-back-office-e-customer-care-fg-139-foggia-641686629.htm","","www. subito . it › offerte- lavoro › addetto-a-al- back - office -e ADDETTO/A AL BACK OFFICE E CUSTOMER CARE fg 139 - Subito","Subito.it","Trapani","2026-06-04","","","","","","","","","","","","Subito.it Fallback | Query: back office","","","","","","","","","","","","","","","Trapani","subito_fallback","https://www.subito.it/offerte-lavoro/addetto-a-al-back-office-e-customer-care-fg-139-foggia-641686629.htm","","","",50,"628f7a7862e537e241118262f88595002497e06b",False,"","Trapani","back_office_segreteria","C",False,False,False,20.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,60.0,60.0,"C","ZONA TRAPANI | back office, addetto","back office, addetto","new",""
"","subito.it","https://www.subito.it/annunci-italia/vendita/offerte-lavoro/?q=addetto+back+office","","www. subito . it › offerte- lavoro Subito.it Addetto back office - Offerte di lavoro","Subito.it","Trapani","2026-06-04","","","","","","","","","","","","Subito.it Fallback | Query: back office","","","","","","","","","","","","","","","Trapani","subito_fallback","https://www.subito.it/annunci-italia/vendita/offerte-lavoro/?q=addetto+back+office","","","",50,"69bdc44858baf229c7dcccc7566fd2c31a853904",False,"","Trapani","back_office_segreteria","C",False,False,False,20.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,60.0,60.0,"C","ZONA TRAPANI | back office, addetto","back office, addetto","new",""
"","subito.it","https://www.subito.it/annunci-italia/vendita/offerte-lavoro/?q=back+office","","www. subito . it › vendita › offerte- lavoro Subito.it Back office - Offerte di lavoro","Subito.it","Trapani","2026-06-04","","","","","","","","","","","","Subito.it Fallback | Query: back office","","","","","","","","","","","","","","","Trapani","subito_fallback","https://www.subito.it/annunci-italia/vendita/offerte-lavoro/?q=back+office","","","",50,"6acc8c90f6e72ae8202da92c93fc0832da05d82b",False,"","Trapani","back_office_segreteria","C",False,False,False,15.0,15.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,55.0,55.0,"D","ZONA TRAPANI | back office","back office","new",""
"li-4422698049","linkedin","https://www.linkedin.com/jobs/view/4422698049","","Graphic & Web designer | Euforia | Trapani","Jobtech","Trapani, Sicily, Italy","","fulltime","","","","","",False,"associate","Design, Art/Creative, and Information Technology","","","Se sei una persona creativa, motivata e stai cercando l'occasione perfetta per immergerti nel mondo del design, la posizione di **Web \\& Graphic designer** a **Trapani** per **Euforia** , noto brand siciliano, è quella che fa per te. **Ecco un'anteprima della tua futura esperienza:** * Tipologia contrattuale: periodo di prova di 2 mensilità e successiva contrattualizzazione a tempo determinato o indeterminato; * Retribuzione: da commisurare all'esperienza e alla tipologia di contratto; * Lavoro prevalentemente in sede con possibilità di smartworking in accordo con il datore di lavoro; * Data di inizio: il prima possibile, l'assunzione ha carattere di urgenza. Farai parte di **Euforia** , un brand che celebra i valori della sicilianità. La loro essenza risplende attraverso le ceramiche di Caltagirone rese in chiave più originale e moderna, le vivaci tonalità degli articoli per l'home decor e per la persona. **Come immaginiamo la candidatura perfetta?** * Pregressa esperienza nel settore; * Abile nella creazione di Mockup, cataloghi, brochure; * Ottime competenze in Web Design; * Ottime competenze e conoscenze dell'ecosistema AI riferite alla materia di competenza; * Ottime competenze in fotografia (produzione e post\\-produzione) * Con una buona dimestichezza con programmi di grafica per i siti web; * Con buone doti di illustratore/illustratrice. **Le tue giornate includeranno:** * Lavoro su prototipi di stampe a sublimazione; * Riporto acquerelli adattandoli a nuove collezioni come ad esemipio set tavola, tovaglie ed altro ancora; * Creazione grafiche di sua iniziativa sotto la nostra guida e supervisione o comunque in pieno stile con il marchio Euforia. **Cosa troverai da noi:** * Un ambiente di lavoro che sprizza dinamismo. * L'opportunità di unirti a un team appassionato e pieno di motivazioni. * La prospettiva di crescita professionale in un'azienda che è in costante espansione. *Importante:* Se decidi di candidarti su lavoro.jobtech.it, la tua candidatura sarà trasmessa direttamente all'azienda utilizzatrice, senza passare attraverso Jobtech. Questo significa che il tuo CV sarà valutato direttamente da un team di selezione esterno a Jobtech. Non farti scappare l'occasione di far parte di questo entusiasmante team e contribuire al successo di questa realtà! Candidati ora per iniziare la tua nuova carriera come *Graphic Designer* a *Trapani* .","Glass, Ceramics and Concrete Manufacturing and Retail","https://it.linkedin.com/company/jobtech-srl","https://media.licdn.com/dms/image/v2/C4D0BAQG2RMti3gz4Rg/company-logo_100_100/company-logo_100_100/0/1669827463234/jobtech_srl_logo?e=2147483647&v=beta&t=9xDdVYtnxtKpJlFd8vLw4gp4ySN3RN_TPK2u8pPGsJg","","","","","","","","","","","","Trapani","linkedin","https://www.linkedin.com/jobs/view/4422698049","","","",90,"e7c57ac69f8f00570fb0e188d1015eb769de5915",False,"","Trapani","amministrazione_contabilita","C",False,False,False,15.0,15.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,55.0,55.0,"D","ZONA TRAPANI | iva","iva","new",""
"","subito.it","https://www.subito.it/annunci-sicilia/vendita/offerte-lavoro/?q=amministrativo","","www. subito . it › vendita › offerte- lavoro Amministrativo in Offerte di lavoro in Sicilia - Subito.it","Subito.it","Italia","2026-06-04","","","","","","","","","","","","Subito.it Fallback | Query: impiegato amministrativo","","","","","","","","","","","","","","","Sicilia","subito_fallback","https://www.subito.it/annunci-sicilia/vendita/offerte-lavoro/?q=amministrativo","","","",50,"165327cb2196efec13865cd9a679bc15ccb951af",False,"","Sicilia","amministrazione_generale","C",False,False,False,13.0,13.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,48.0,48.0,"X","amministrativo, impiegato","amministrativo, impiegato","new",""
"li-4418382648","linkedin","https://www.linkedin.com/jobs/view/4418382648","","Tirocinio ufficio amministrativo","Sion srl","Gela, Sicily, Italy","2026-05-31","parttime","","","","","",False,"internship","Administrative","","","**Descrizione del ruolo** Aperte le posizioni per stage/tirocini di neolaureati in economia aziendale.","Construction","https://it.linkedin.com/company/sion-srl","https://media.licdn.com/dms/image/v2/D4D0BAQElbSGDmLYPoQ/company-logo_100_100/B4DZudrZ0YJkAQ-/0/1767876960741?e=2147483647&v=beta&t=vgGxCp_NMfqlaEayn1n3IcHQ4NQ_ekLJ2tNgqpYdzhY","","","","","","","","","","","","Sicilia","linkedin","https://www.linkedin.com/jobs/view/4418382648","","","",90,"7144a009513cacea719b4cb8fa1612990e84ca9b",False,"","Sicilia","amministrazione_generale","C",False,False,False,8.0,8.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,43.0,43.0,"X","amministrativo","amministrativo","new",""
